 | 63   | Toxicroak          |  1.31062% | 4954   |  1.311% | 2427   |  1.356% | 
 | 64   | Heatran            |  1.30057% | 4916   |  1.301% | 2057   |  1.149% | 
 | 65   | Bisharp            |  1.29316% | 4888   |  1.293% | 1992   |  1.113% | 
 | 66   | Weavile            |  1.25824% | 4756   |  1.258% | 2168   |  1.211% | 
 | 67   | Arcanine           |  1.17543% | 4443   |  1.175% | 1846   |  1.031% | 
 | 68   | Thundurus          |  1.12041% | 4235   |  1.120% | 1421   |  0.794% | 
 | 69   | Necrozma-Dawn-Wings |  1.09871% | 4153   |  1.099% | 2021   |  1.129% | 
 | 70   | Giratina-Origin    |  1.07464% | 4062   |  1.075% | 2028   |  1.133% | 
 | 71   | Scrafty            |  1.06776% | 4036   |  1.068% | 1732   |  0.967% | 
 | 72   | Sableye            |  1.00056% | 3782   |  1.001% | 1581   |  0.883% | 
 | 73   | Muk-Alola          |  0.99501% | 3761   |  0.995% | 1838   |  1.027% | 
 | 74   | Porygon2           |  0.94209% | 3561   |  0.942% | 1156   |  0.646% | 
 | 75   | Rayquaza           |  0.92225% | 3486   |  0.922% | 1686   |  0.942% | 
 | 76   | Accelgor           |  0.82304% | 3111   |  0.823% | 1392   |  0.777% | 
 | 77   | Lilligant          |  0.79923% | 3021   |  0.799% | 1343   |  0.750% | 
 | 78   | Blaziken           |  0.79764% | 3015   |  0.798% | 1217   |  0.680% | 
 | 79   | Salazzle           |  0.78944% | 2984   |  0.789% | 1339   |  0.748% | 
 | 80   | Oranguru           |  0.77754% | 2939   |  0.778% | 1270   |  0.709% | 
 | 81   | Rotom-Wash         |  0.75849% | 2867   |  0.758% | 1043   |  0.583% | 
 | 82   | Marowak-Alola      |  0.75479% | 2853   |  0.755% | 1247   |  0.696% | 
 | 83   | Tornadus           |  0.73653% | 2784   |  0.737% | 1013   |  0.566% | 
 | 84   | Thundurus-Therian  |  0.73283% | 2770   |  0.733% | 1158   |  0.647% | 
 | 85   | Meowstic           |  0.72886% | 2755   |  0.729% | 1147   |  0.641% | 
 | 86   | Talonflame         |  0.71695% | 2710   |  0.717% | 1121   |  0.626% | 
 | 87   | Torkoal            |  0.71616% | 2707   |  0.716% | 1388   |  0.775% | 
 | 88   | Pheromosa          |  0.71325% | 2696   |  0.713% | 1133   |  0.633% | 
 | 89   | Liepard            |  0.69791% | 2638   |  0.698% | 1074   |  0.600% | 
 | 90   | Infernape          |  0.69579% | 2630   |  0.696% | 1172   |  0.655% | 
 | 91   | Latias             |  0.69314% | 2620   |  0.693% | 827    |  0.462% | 
 | 92   | Seismitoad         |  0.62912% | 2378   |  0.629% | 993    |  0.555% | 
