 | 62   | Azumarill          |  2.37207% | 110459 |  2.654% | 84250  |  2.658% | 
 | 63   | Araquanid          |  2.12037% | 76499  |  1.838% | 65876  |  2.078% | 
 | 64   | Diancie-Mega       |  2.04548% | 79290  |  1.905% | 62999  |  1.987% | 
 | 65   | Gengar             |  2.00232% | 125794 |  3.022% | 87862  |  2.771% | 
 | 66   | Crawdaunt          |  1.93670% | 63196  |  1.518% | 46963  |  1.481% | 
 | 67   | Muk-Alola          |  1.82885% | 82487  |  1.982% | 62669  |  1.977% | 
 | 68   | Thundurus-Therian  |  1.79360% | 73796  |  1.773% | 57340  |  1.809% | 
 | 69   | Beedrill-Mega      |  1.77148% | 89172  |  2.143% | 66649  |  2.102% | 
 | 70   | Ditto              |  1.75552% | 64144  |  1.541% | 46867  |  1.478% | 
 | 71   | Marowak-Alola      |  1.75190% | 72132  |  1.733% | 54261  |  1.712% | 
 | 72   | Ribombee           |  1.74635% | 54937  |  1.320% | 48837  |  1.540% | 
 | 73   | Kommo-o            |  1.73628% | 70683  |  1.698% | 50877  |  1.605% | 
 | 74   | Mamoswine          |  1.71527% | 73366  |  1.763% | 58907  |  1.858% | 
 | 75   | Heracross-Mega     |  1.70981% | 66927  |  1.608% | 47389  |  1.495% | 
 | 76   | Breloom            |  1.64672% | 86020  |  2.067% | 64106  |  2.022% | 
 | 77   | Buzzwole           |  1.61890% | 58108  |  1.396% | 42933  |  1.354% | 
 | 78   | Scizor             |  1.61155% | 82451  |  1.981% | 60450  |  1.907% | 
 | 79   | Conkeldurr         |  1.59525% | 77933  |  1.873% | 59394  |  1.874% | 
 | 80   | Hippowdon          |  1.54843% | 62304  |  1.497% | 53158  |  1.677% | 
 | 81   | Salamence          |  1.45681% | 77084  |  1.852% | 54295  |  1.713% | 
 | 82   | Infernape          |  1.45268% | 97590  |  2.345% | 73486  |  2.318% | 
 | 83   | Manaphy            |  1.44211% | 50570  |  1.215% | 36407  |  1.148% | 
 | 84   | Gallade-Mega       |  1.42768% | 71603  |  1.720% | 50001  |  1.577% | 
 | 85   | Hydreigon          |  1.41474% | 72392  |  1.739% | 53594  |  1.691% | 
 | 86   | Gardevoir-Mega     |  1.39831% | 80496  |  1.934% | 54147  |  1.708% | 
 | 87   | Latias-Mega        |  1.39670% | 46104  |  1.108% | 33135  |  1.045% | 
 | 88   | Cloyster           |  1.38810% | 87089  |  2.092% | 64989  |  2.050% | 
 | 89   | Cresselia          |  1.34504% | 49352  |  1.186% | 37084  |  1.170% | 
 | 90   | Shuckle            |  1.32596% | 71867  |  1.727% | 64352  |  2.030% | 
 | 91   | Reuniclus          |  1.28147% | 46596  |  1.120% | 33500  |  1.057% | 
 | 92   | Porygon-Z          |  1.27984% | 64657  |  1.554% | 45553  |  1.437% | 
 | 93   | Amoonguss          |  1.27222% | 56211  |  1.351% | 41722  |  1.316% | 
 | 94   | Manectric-Mega     |  1.27149% | 63051  |  1.515% | 49288  |  1.555% | 
 | 95   | Xurkitree          |  1.22751% | 54962  |  1.321% | 39987  |  1.261% | 
 | 96   | Staraptor          |  1.20135% | 66180  |  1.590% | 48371  |  1.526% | 
 | 97   | Nidoking           |  1.16194% | 60060  |  1.443% | 46188  |  1.457% | 
 | 98   | Togekiss           |  1.13898% | 75193  |  1.807% | 54061  |  1.705% | 
 | 99   | Arcanine           |  1.13512% | 77476  |  1.862% | 58940  |  1.859% | 
 | 100  | Slowbro            |  1.12325% | 43398  |  1.043% | 33090  |  1.044% | 
 | 101  | Tentacruel         |  1.10459% | 55282  |  1.328% | 42765  |  1.349% | 
 | 102  | Volcanion          |  1.09379% | 51031  |  1.226% | 40269  |  1.270% | 
 | 103  | Starmie            |  1.05109% | 58320  |  1.401% | 42316  |  1.335% | 
 | 104  | Quagsire           |  1.04155% | 43456  |  1.044% | 32176  |  1.015% | 
 | 105  | Snorlax            |  1.03188% | 75433  |  1.812% | 55463  |  1.750% | 
 | 106  | Latias             |  1.02961% | 38845  |  0.933% | 27640  |  0.872% | 
 | 107  | Garchomp-Mega      |  1.01682% | 64258  |  1.544% | 46163  |  1.456% | 
 | 108  | Metagross          |  0.99311% | 68246  |  1.640% | 50231  |  1.584% | 
 | 109  | Galvantula         |  0.99282% | 57183  |  1.374% | 49704  |  1.568% | 
